ip=  0 ,FFP(MV)= 79.70 ,Rc(GV)=  6.12 depth(g/cm2)=  1.9781E+02 g=    0.15
 Total flux (/cm2/s)=   0.99936984687715869     
    E(MeV/n)        u        v        w
  1.7985E+01  0.07345  0.60931  0.78953
  1.9561E+00  0.82586 -0.39474  0.40265
  1.1375E+00 -0.26624 -0.94045 -0.21135
  6.8497E+01  0.57376  0.10375  0.81243
  1.4083E+02  0.77918 -0.62637 -0.02318
  1.1503E+01 -0.95003 -0.30749 -0.05374
  5.0331E+01 -0.86745  0.49436 -0.05604
  2.1163E+00 -0.74985 -0.58524  0.30859
  3.2322E+02 -0.99648  0.03116 -0.07787
  3.4406E+02  0.07270  0.38111  0.92167
  3.0883E+02 -0.73564 -0.64978  0.19138
  4.5690E+00 -0.31067 -0.83844  0.44778
  1.3682E+00 -0.38997  0.88143  0.26645
  6.8741E+01  0.71701  0.64783  0.25734
  7.7167E+01  0.25310 -0.07675  0.96439
  1.8228E+01  0.55773  0.60181 -0.57163
  7.6701E+00 -0.30306  0.81820 -0.48857
  1.2081E+02 -0.49981 -0.63358 -0.59057
  1.1568E+02  0.29866 -0.89968  0.31840
  4.8063E+01 -0.99715  0.07151 -0.02391
  7.7578E+01 -0.45556  0.20762  0.86565
  1.5333E+00  0.89090 -0.36376  0.27198
  1.6231E+02  0.98910  0.06834 -0.13039
  3.9282E+00 -0.60036  0.02317 -0.79940
  4.3546E+01  0.31039  0.90855 -0.27965
  1.0200E+01 -0.64394 -0.63004  0.43405
  4.0717E+00  0.95840  0.27480 -0.07713
  8.4290E+00 -0.40080  0.88526 -0.23596
  2.4852E+00 -0.03822 -0.94311 -0.33027
  3.7711E+02  0.82045 -0.53772  0.19423
  4.7244E+02 -0.31540  0.10467  0.94317
  7.9403E+00  0.32042 -0.74626 -0.58346
  4.4353E+00 -0.38479 -0.91463  0.12403
  4.4074E+01 -0.09076 -0.77258 -0.62839
  7.1191E+00  0.45539 -0.79704  0.39667
  4.0221E+01 -0.00261 -0.89969  0.43653
  1.8341E+00  0.70462 -0.56987 -0.42280
  3.4948E+01  0.90253  0.42644  0.05994
  1.2772E+00  0.40631  0.90283 -0.14074
  3.3528E+01  0.22267  0.97399  0.04195
  1.0448E+02 -0.21199 -0.81379  0.54112
  7.0545E+00 -0.53091  0.79635 -0.28974
  4.9297E+00  0.68081  0.02149 -0.73215
  1.0672E+00  0.51142  0.36514  0.77790
  1.2677E+01 -0.74638  0.29385  0.59714
  1.0676E+02  0.01717  0.46368  0.88584
  1.8630E+00  0.01357 -0.27494 -0.96137
  6.5829E+02  0.34367 -0.33006  0.87917
  1.7892E+01  0.59743 -0.52290 -0.60799
  2.2094E+02  0.95610 -0.17245  0.23693
  2.4961E+00  0.55607  0.27821  0.78319
  6.5999E+02 -0.83502  0.52545  0.16323
  2.5586E+02  0.73709  0.63392  0.23418
  2.0068E+02  0.11286  0.33346  0.93599
  1.6794E+02  0.60561 -0.23197  0.76120
  1.0638E+02  0.40300  0.14373  0.90384
  1.9316E+02 -0.73746 -0.57501  0.35428
  1.7583E+00 -0.62198  0.44971  0.64102
  5.1798E+00 -0.78568 -0.35874 -0.50400
  9.2422E+02 -0.07436 -0.99587  0.05200
  1.4653E+00  0.72927  0.67921  0.08263
  1.4184E+02 -0.56106 -0.66405  0.49421
  4.1305E+00  0.04581  0.86515  0.49941
  6.6856E+01  0.16085 -0.65005  0.74267
  1.5773E+00  0.33713 -0.94144  0.00531
  1.4414E+00 -0.41261 -0.39672  0.81998
  1.9043E+00 -0.51128  0.77876 -0.36349
  1.2762E+00  0.97206  0.16915  0.16275
  1.1691E+01  0.83705 -0.28682 -0.46591
  8.4389E+00  0.08502  0.99613  0.02223
  1.9750E+00 -0.96090  0.24405  0.13079
  6.8194E+01  0.28844  0.63990  0.71227
  1.2107E+01  0.68299  0.20950  0.69973
  1.2445E+00  0.22015 -0.36559 -0.90436
  4.5638E+02  0.64537 -0.70990  0.28203
  7.1231E+02  0.89372 -0.42291  0.14968
  3.5001E+01 -0.35146 -0.28476  0.89185
  9.5653E+01 -0.61607  0.10141  0.78113
  2.7820E+00 -0.70770 -0.67286  0.21544
  6.0825E+01  0.52204 -0.81314 -0.25744
